Microorganism,Antibiotics,Year,Country,N,%R,Fully susceptible,%ESBL,Non-susceptible,Number of laboratories
Escherichia coli,"aminoglycosides, fluoroquinolones, third-generation cephalosporins",2013,Slovenia,1224,4.8,,,,
Escherichia coli,"aminoglycosides, fluoroquinolones, third-generation cephalosporins",2013,Czech Republic,2953,4.9,,,,
Escherichia coli,"aminoglycosides, fluoroquinolones, third-generation cephalosporins",2013,Ireland,2478,4.9,,,,
Escherichia coli,"aminoglycosides, fluoroquinolones, third-generation cephalosporins",2013,Malta,248,5.2,,,,
Escherichia coli,"aminoglycosides, fluoroquinolones, third-generation cephalosporins",2013,Poland,999,5.2,,,,
Escherichia coli,"aminoglycosides, fluoroquinolones, third-generation cephalosporins",2013,Spain,5922,5.8,,,,
Escherichia coli,"aminoglycosides, fluoroquinolones, third-generation cephalosporins",2013,Portugal,2677,8.5,,,,
Escherichia coli,"aminoglycosides, fluoroquinolones, third-generation cephalosporins",2013,Romania,292,9.2,,,,
Escherichia coli,"aminoglycosides, fluoroquinolones, third-generation cephalosporins",2013,Greece,1235,10.4,,,,
Escherichia coli,"aminoglycosides, fluoroquinolones, third-generation cephalosporins",2013,Hungary,1422,11.0,,,,
Escherichia coli,"aminoglycosides, fluoroquinolones, third-generation cephalosporins",2013,Italy,3884,12.2,,,,
Escherichia coli,"aminoglycosides, fluoroquinolones, third-generation cephalosporins",2013,Slovakia,807,17.2,,,,
Escherichia coli,"aminoglycosides, fluoroquinolones, third-generation cephalosporins",2013,Bulgaria,187,19.8,,,,
Escherichia coli,"aminoglycosides, fluoroquinolones, third-generation cephalosporins",2013,Cyprus,162,20.4,,,,
Escherichia coli,third-generation cephalosporins,2010,Iceland,104,3.8,,,,
Escherichia coli,third-generation cephalosporins,2010,Sweden,3883,2.6,,,,
Escherichia coli,third-generation cephalosporins,2010,Norway,2275,3.7,,,,
Escherichia coli,third-generation cephalosporins,2010,Netherlands,3387,5.1,,,,
Escherichia coli,third-generation cephalosporins,2010,Finland,2509,3.7,,,,
Escherichia coli,third-generation cephalosporins,2010,Estonia,309,5.5,,,,
Escherichia coli,third-generation cephalosporins,2010,Lithuania,333,8.7,,,,
Escherichia coli,third-generation cephalosporins,2010,Belgium,1952,5.2,,,,
Escherichia coli,third-generation cephalosporins,2010,Denmark,2408,7.6,,,,
Escherichia coli,third-generation cephalosporins,2010,Slovenia,952,6.6,,,,
Escherichia coli,third-generation cephalosporins,2010,Croatia,882,8.7,,,,
Escherichia coli,third-generation cephalosporins,2010,Malta,192,15.6,,,,
Escherichia coli,third-generation cephalosporins,2010,France,9022,7.2,,,,
Escherichia coli,third-generation cephalosporins,2010,Austria,2922,7.3,,,,
Escherichia coli,third-generation cephalosporins,2010,Ireland,2119,7.7,,,,
Escherichia coli,third-generation cephalosporins,2010,Luxembourg,354,9.3,,,,
Escherichia coli,third-generation cephalosporins,2010,Germany,3015,8.4,,,,
Escherichia coli,third-generation cephalosporins,2010,Poland,744,7.5,,,,
Escherichia coli,third-generation cephalosporins,2010,Czech Republic,2482,10.4,,,,
Escherichia coli,third-generation cephalosporins,2010,Spain,5696,12.1,,,,
Escherichia coli,third-generation cephalosporins,2010,Latvia,98,12.2,,,,
Escherichia coli,third-generation cephalosporins,2010,United Kingdom,4547,9.0,,,,
Escherichia coli,third-generation cephalosporins,2010,Portugal,1928,10.4,,,,
Escherichia coli,third-generation cephalosporins,2010,Greece,1507,14.2,,,,
Escherichia coli,third-generation cephalosporins,2010,Hungary,1383,19.5,,,,
Escherichia coli,third-generation cephalosporins,2010,Romania,34,20.6,,,,
Escherichia coli,third-generation cephalosporins,2010,Italy,2419,21.0,,,,
Escherichia coli,third-generation cephalosporins,2010,Cyprus,139,20.1,,,,
Escherichia coli,third-generation cephalosporins,2010,Bulgaria,153,24.8,,,,
Escherichia coli,third-generation cephalosporins,2011,Iceland,130,6.2,,,,
Escherichia coli,third-generation cephalosporins,2011,Sweden,5011,3.6,,,,
Escherichia coli,third-generation cephalosporins,2011,Norway,2523,3.6,,,,
Escherichia coli,third-generation cephalosporins,2011,Netherlands,4408,5.7,,,,
Escherichia coli,third-generation cephalosporins,2011,Finland,3020,5.0,,,,
Escherichia coli,third-generation cephalosporins,2011,Estonia,90,12.2,,,,
Escherichia coli,third-generation cephalosporins,2011,Lithuania,385,7.0,,,,
Escherichia coli,third-generation cephalosporins,2011,Belgium,3985,6.0,,,,
Escherichia coli,third-generation cephalosporins,2011,Denmark,2532,8.5,,,,
Escherichia coli,third-generation cephalosporins,2011,Slovenia,1002,8.8,,,,
Escherichia coli,third-generation cephalosporins,2011,Croatia,983,9.6,,,,
Escherichia coli,third-generation cephalosporins,2011,Malta,219,12.8,,,,
Escherichia coli,third-generation cephalosporins,2011,France,8479,8.2,,,,
Escherichia coli,third-generation cephalosporins,2011,Austria,3160,9.1,,,,
Escherichia coli,third-generation cephalosporins,2011,Ireland,2166,9.0,,,,
Escherichia coli,third-generation cephalosporins,2011,Luxembourg,353,8.2,,,,
Escherichia coli,third-generation cephalosporins,2011,Germany,3642,8.0,,,,
Escherichia coli,third-generation cephalosporins,2011,Poland,938,11.7,,,,
Escherichia coli,third-generation cephalosporins,2011,Czech Republic,2684,11.4,,,,
Escherichia coli,third-generation cephalosporins,2011,Spain,5600,12.0,,,,
Escherichia coli,third-generation cephalosporins,2011,Latvia,132,15.9,,,,
Escherichia coli,third-generation cephalosporins,2011,United Kingdom,5182,9.6,,,,
Escherichia coli,third-generation cephalosporins,2011,Portugal,1901,11.3,,,,
Escherichia coli,third-generation cephalosporins,2011,Greece,1435,14.9,,,,
Escherichia coli,third-generation cephalosporins,2011,Hungary,1224,15.1,,,,
Escherichia coli,third-generation cephalosporins,2011,Romania,95,21.1,,,,
Escherichia coli,third-generation cephalosporins,2011,Italy,1870,19.8,,,,
Escherichia coli,third-generation cephalosporins,2011,Slovakia,740,30.9,,,,
Escherichia coli,third-generation cephalosporins,2011,Cyprus,138,36.2,,,,
Escherichia coli,third-generation cephalosporins,2011,Bulgaria,179,22.9,,,,
Escherichia coli,third-generation cephalosporins,2012,Iceland,138,5.1,,,,
Escherichia coli,third-generation cephalosporins,2012,Sweden,5536,4.4,,,,
Escherichia coli,third-generation cephalosporins,2012,Norway,3019,4.9,,,,
Escherichia coli,third-generation cephalosporins,2012,Netherlands,4702,6.0,,,,
Escherichia coli,third-generation cephalosporins,2012,Finland,3162,6.2,,,,
Escherichia coli,third-generation cephalosporins,2012,Estonia,305,7.9,,,,
Escherichia coli,third-generation cephalosporins,2012,Lithuania,462,4.8,,,,
Escherichia coli,third-generation cephalosporins,2012,Belgium,4097,6.9,,,,
Escherichia coli,third-generation cephalosporins,2012,Denmark,2519,7.9,,,,
Escherichia coli,third-generation cephalosporins,2012,Slovenia,1168,9.5,,,,
Escherichia coli,third-generation cephalosporins,2012,Croatia,906,7.5,,,,
Escherichia coli,third-generation cephalosporins,2012,Malta,216,13.9,,,,
Escherichia coli,third-generation cephalosporins,2012,France,9563,10.0,,,,
Escherichia coli,third-generation cephalosporins,2012,Austria,3710,8.7,,,,
Escherichia coli,third-generation cephalosporins,2012,Ireland,2288,9.2,,,,
Escherichia coli,third-generation cephalosporins,2012,Luxembourg,334,11.4,,,,
Escherichia coli,third-generation cephalosporins,2012,Germany,4186,8.8,,,,
Escherichia coli,third-generation cephalosporins,2012,Poland,1037,12.9,,,,
Escherichia coli,third-generation cephalosporins,2012,Czech Republic,2812,11.5,,,,
Escherichia coli,third-generation cephalosporins,2012,Spain,5672,13.5,,,,
Escherichia coli,third-generation cephalosporins,2012,Latvia,154,13.0,,,,
Escherichia coli,third-generation cephalosporins,2012,United Kingdom,5663,13.1,,,,
Escherichia coli,third-generation cephalosporins,2012,Portugal,2154,13.5,,,,
Escherichia coli,third-generation cephalosporins,2012,Greece,1393,16.2,,,,
Escherichia coli,third-generation cephalosporins,2012,Hungary,1411,17.4,,,,
Escherichia coli,third-generation cephalosporins,2012,Romania,191,25.1,,,,
Escherichia coli,third-generation cephalosporins,2012,Italy,2997,26.3,,,,
Escherichia coli,third-generation cephalosporins,2012,Slovakia,693,30.7,,,,
Escherichia coli,third-generation cephalosporins,2012,Cyprus,176,31.8,,,,
Escherichia coli,third-generation cephalosporins,2012,Bulgaria,223,38.1,,,,
Escherichia coli,third-generation cephalosporins,2013,Iceland,121,5.0,,,,
Escherichia coli,third-generation cephalosporins,2013,Sweden,7532,5.2,,,,
Escherichia coli,third-generation cephalosporins,2013,Norway,3077,5.5,,,,
Escherichia coli,third-generation cephalosporins,2013,Netherlands,4740,5.8,,,,
Escherichia coli,third-generation cephalosporins,2013,Finland,3689,7.1,,,,
Escherichia coli,third-generation cephalosporins,2013,Estonia,340,7.4,,,,
Escherichia coli,third-generation cephalosporins,2013,Lithuania,432,7.6,,,,
Escherichia coli,third-generation cephalosporins,2013,Belgium,4051,8.0,,,,
Escherichia coli,third-generation cephalosporins,2013,Denmark,2451,8.1,,,,
Escherichia coli,third-generation cephalosporins,2013,Slovenia,1224,8.7,,,,
Escherichia coli,third-generation cephalosporins,2013,Croatia,1040,8.8,,,,
Escherichia coli,third-generation cephalosporins,2013,Malta,248,8.9,,,,
Escherichia coli,third-generation cephalosporins,2013,France,10154,9.5,,,,
Escherichia coli,third-generation cephalosporins,2013,Austria,4376,9.8,,,,
Escherichia coli,third-generation cephalosporins,2013,Ireland,2480,10.6,,,,
Escherichia coli,third-generation cephalosporins,2013,Luxembourg,301,10.6,,,,
Escherichia coli,third-generation cephalosporins,2013,Germany,5249,10.8,,,,
Escherichia coli,third-generation cephalosporins,2013,Poland,1036,10.9,,,,
Escherichia coli,third-generation cephalosporins,2013,Czech Republic,2954,13.1,,,,
Escherichia coli,third-generation cephalosporins,2013,Spain,5932,13.3,,,,
Escherichia coli,third-generation cephalosporins,2013,Latvia,136,14.0,,,,
Escherichia coli,third-generation cephalosporins,2013,United Kingdom,6586,14.7,,,,
Escherichia coli,third-generation cephalosporins,2013,Portugal,2678,14.9,,,,
Escherichia coli,third-generation cephalosporins,2013,Greece,1255,17.2,,,,
Escherichia coli,third-generation cephalosporins,2013,Hungary,1437,18.9,,,,
Escherichia coli,third-generation cephalosporins,2013,Romania,298,22.8,,,,
Escherichia coli,third-generation cephalosporins,2013,Italy,3990,26.2,,,,
Escherichia coli,third-generation cephalosporins,2013,Slovakia,807,29.7,,,,
Escherichia coli,third-generation cephalosporins,2013,Cyprus,162,38.9,,,,
Escherichia coli,third-generation cephalosporins,2013,Bulgaria,187,39.6,,,,
Escherichia coli,aminoglycosides,2010,Iceland,104,2.9,,,,
Escherichia coli,aminoglycosides,2010,Sweden,3665,2.7,,,,
Escherichia coli,aminoglycosides,2010,Belgium,1584,5.6,,,,
Escherichia coli,aminoglycosides,2010,Netherlands,3408,7.2,,,,
