Year,Microorganism,Country,Continent,Beta.lactamase,Group,NG_MAST,log2_azm_mic,log2_cfx_mic,log2_cip_mic,log2_cro_mic,log2_pen_mic,log2_tet_mic,%ESBL,%R,Fully susceptible,N,Non-susceptible,Number of laboratories,3GCREC,3GCRKP,AMINOGLYCOSIDES,AMINOPENICILLINS,AZM,CARBAPENEMS,CEFTAZIDIME,CFX,CIP,CRO,FLUOROQUINOLONES,GENTAMICIN,MACROLIDES,METICILLIN,PEN,PENICILLINS,PIPERACILLIN+TAZOBACTAM,TET,THIRD-GENERATION CEPHALOSPORINS,VANCOMYCIN
1998,NEISSERIA GONORRHOEAE,USA,America,S,1.0,-,-3.0,-5.965784285,-8.380821784,-7.965784285,-2.0,-1.395928676,,,,,,,,,,,1.0,,,1.0,1.0,1.0,,,,,1.0,,,1.0,,
1998,NEISSERIA GONORRHOEAE,USA,America,S,196.0,272,-3.965784285,-5.965784285,-8.965784285,-8.380821784,-2.0,-1.395928676,,,,,,,,,,,1.0,,,1.0,1.0,1.0,,,,,1.0,,,1.0,,
1998,NEISSERIA GONORRHOEAE,Caribbean,America,R,1.0,-,-5.442222329,-5.965784285,-8.965784285,-8.965784285,3.584962501,-1.395928676,,,,,,,,,,,1.0,,,1.0,1.0,1.0,,,,,1.0,,,1.0,,
1998,NEISSERIA GONORRHOEAE,Cuba,America,S,1.0,-,-5.965784285,-5.965784285,-8.380821784,-8.965784285,-3.411195433,-1.0,,,,,,,,,,,1.0,,,1.0,1.0,1.0,,,,,1.0,,,1.0,,
1998,NEISSERIA GONORRHOEAE,Denmark,Europe,S,285.0,41,-3.411195433,-5.965784285,-8.965784285,-8.965784285,-2.395928676,-2.395928676,,,,,,,,,,,1.0,,,1.0,1.0,1.0,,,,,1.0,,,1.0,,
1998,NEISSERIA GONORRHOEAE,Denmark,Europe,S,1.0,-,-3.411195433,-5.965784285,-8.965784285,-8.965784285,-2.0,-0.415037499,,,,,,,,,,,1.0,,,1.0,1.0,1.0,,,,,1.0,,,1.0,,
1998,NEISSERIA GONORRHOEAE,Denmark,Europe,S,171.0,21,-2.395928676,-5.442222329,-6.965784285,-6.380821784,0.0,0.0,,,,,,,,,,,1.0,,,1.0,1.0,1.0,,,,,1.0,,,1.0,,
1998,NEISSERIA GONORRHOEAE,Denmark,Europe,S,388.0,7289,-2.395928676,-5.965784285,-6.965784285,-6.965784285,0.0,0.584962501,,,,,,,,,,,1.0,,,1.0,1.0,1.0,,,,,1.0,,,1.0,,
1998,NEISSERIA GONORRHOEAE,Denmark,Europe,S,427.0,85,-3.411195433,-5.965784285,-8.380821784,-8.965784285,-2.0,-1.0,,,,,,,,,,,1.0,,,1.0,1.0,1.0,,,,,1.0,,,1.0,,
1998,NEISSERIA GONORRHOEAE,France,Europe,S,122.0,132,-4.965784285,-5.965784285,-8.380821784,-8.965784285,-3.0,-1.395928676,,,,,,,,,,,1.0,,,1.0,1.0,1.0,,,,,1.0,,,1.0,,
1998,NEISSERIA GONORRHOEAE,France,Europe,S,427.0,85,-3.411195433,-5.965784285,-8.965784285,-8.380821784,-1.395928676,-1.395928676,,,,,,,,,,,1.0,,,1.0,1.0,1.0,,,,,1.0,,,1.0,,
1998,NEISSERIA GONORRHOEAE,Cuba,America,R,1.0,-,-4.965784285,-5.965784285,-8.965784285,-8.965784285,4.0,4.584962501,,,,,,,,,,,1.0,,,1.0,1.0,1.0,,,,,1.0,,,1.0,,
1998,NEISSERIA GONORRHOEAE,Germany,Europe,S,241.0,356,-5.965784285,-5.965784285,-8.965784285,-7.965784285,-3.411195433,-2.395928676,,,,,,,,,,,1.0,,,1.0,1.0,1.0,,,,,1.0,,,1.0,,
1998,NEISSERIA GONORRHOEAE,Germany,Europe,S,116.0,12970,-4.411195433,-5.965784285,-6.965784285,-5.442222329,1.584962501,0.584962501,,,,,,,,,,,1.0,,,1.0,1.0,1.0,,,,,1.0,,,1.0,,
1998,NEISSERIA GONORRHOEAE,Germany,Europe,S,1.0,-,-3.965784285,-5.965784285,-8.965784285,-8.380821784,0.0,-1.0,,,,,,,,,,,1.0,,,1.0,1.0,1.0,,,,,1.0,,,1.0,,
1998,NEISSERIA GONORRHOEAE,Greece,Europe,S,314.0,495,-2.0,-5.965784285,-6.380821784,-6.380821784,1.0,0.0,,,,,,,,,,,1.0,,,1.0,1.0,1.0,,,,,1.0,,,1.0,,
1998,NEISSERIA GONORRHOEAE,Greece,Europe,S,314.0,495,-2.0,-5.965784285,-6.965784285,-7.380821784,1.0,1.584962501,,,,,,,,,,,1.0,,,1.0,1.0,1.0,,,,,1.0,,,1.0,,
1998,NEISSERIA GONORRHOEAE,Greece,Europe,S,314.0,495,-2.0,-5.965784285,-6.380821784,-6.965784285,0.584962501,0.584962501,,,,,,,,,,,1.0,,,1.0,1.0,1.0,,,,,1.0,,,1.0,,
1998,NEISSERIA GONORRHOEAE,Greece,Europe,R,1.0,-,-2.395928676,-5.965784285,-2.0,-6.965784285,3.0,1.0,,,,,,,,,,,1.0,,,1.0,1.0,1.0,,,,,1.0,,,1.0,,
1998,NEISSERIA GONORRHOEAE,Greece,Europe,S,1.0,-,-3.0,-5.965784285,-7.380821784,-8.965784285,-3.965784285,0.584962501,,,,,,,,,,,1.0,,,1.0,1.0,1.0,,,,,1.0,,,1.0,,
1998,NEISSERIA GONORRHOEAE,Hungary,Europe,S,1.0,-,-3.411195433,-5.965784285,-8.965784285,-8.380821784,0.0,-1.395928676,,,,,,,,,,,1.0,,,1.0,1.0,1.0,,,,,1.0,,,1.0,,
1998,NEISSERIA GONORRHOEAE,Italy,Europe,S,381.0,69,-2.0,-5.965784285,-8.380821784,-8.965784285,-4.965784285,-2.0,,,,,,,,,,,1.0,,,1.0,1.0,1.0,,,,,1.0,,,1.0,,
1998,NEISSERIA GONORRHOEAE,Cuba,America,R,1.0,-,-4.411195433,-5.965784285,-8.965784285,-8.380821784,4.0,3.584962501,,,,,,,,,,,1.0,,,1.0,1.0,1.0,,,,,1.0,,,1.0,,
1998,NEISSERIA GONORRHOEAE,Italy,Europe,S,380.0,685,-3.411195433,-5.965784285,-8.965784285,-8.380821784,-2.0,-2.0,,,,,,,,,,,1.0,,,1.0,1.0,1.0,,,,,1.0,,,1.0,,
1998,NEISSERIA GONORRHOEAE,Norway,Europe,S,1.0,-,-4.411195433,-5.965784285,-8.965784285,-8.965784285,-2.395928676,3.584962501,,,,,,,,,,,1.0,,,1.0,1.0,1.0,,,,,1.0,,,1.0,,
1998,NEISSERIA GONORRHOEAE,Poland,Europe,S,11.0,1152,-4.965784285,-5.965784285,-8.965784285,-8.965784285,-5.965784285,-2.395928676,,,,,,,,,,,1.0,,,1.0,1.0,1.0,,,,,1.0,,,1.0,,
1998,NEISSERIA GONORRHOEAE,Poland,Europe,S,1.0,-,-5.965784285,-5.965784285,-8.965784285,-8.965784285,-3.0,-1.395928676,,,,,,,,,,,1.0,,,1.0,1.0,1.0,,,,,1.0,,,1.0,,
1998,NEISSERIA GONORRHOEAE,Romania,Europe,R,314.0,495,-3.965784285,-5.965784285,-6.965784285,-6.965784285,2.0,0.0,,,,,,,,,,,1.0,,,1.0,1.0,1.0,,,,,1.0,,,1.0,,
1998,NEISSERIA GONORRHOEAE,Russia,Asia,S,412.0,807,-3.965784285,-5.965784285,-8.965784285,-7.965784285,-0.415037499,-1.0,,,,,,,,,,,1.0,,,1.0,1.0,1.0,,,,,1.0,,,1.0,,
1998,NEISSERIA GONORRHOEAE,Russia,Asia,S,1.0,-,-3.0,-5.965784285,-8.380821784,-8.965784285,-3.0,-0.415037499,,,,,,,,,,,1.0,,,1.0,1.0,1.0,,,,,1.0,,,1.0,,
1998,NEISSERIA GONORRHOEAE,Russia,Asia,S,447.0,950,-4.965784285,-5.965784285,-8.965784285,-8.965784285,-5.965784285,-3.0,,,,,,,,,,,1.0,,,1.0,1.0,1.0,,,,,1.0,,,1.0,,
1998,NEISSERIA GONORRHOEAE,Spain,Europe,S,196.0,272,-3.0,-5.965784285,-8.380821784,-8.380821784,-2.395928676,-1.0,,,,,,,,,,,1.0,,,1.0,1.0,1.0,,,,,1.0,,,1.0,,
1998,NEISSERIA GONORRHOEAE,Spain,Europe,S,317.0,5,-1.395928676,-5.442222329,-6.965784285,-5.965784285,0.584962501,0.584962501,,,,,,,,,,,1.0,,,1.0,1.0,1.0,,,,,1.0,,,1.0,,
1998,NEISSERIA GONORRHOEAE,Cuba,America,S,1.0,-,-4.411195433,-5.965784285,-8.965784285,-8.965784285,-2.0,3.584962501,,,,,,,,,,,1.0,,,1.0,1.0,1.0,,,,,1.0,,,1.0,,
1998,NEISSERIA GONORRHOEAE,Spain,Europe,S,411.0,8,-4.411195433,-5.965784285,-8.965784285,-8.965784285,-5.965784285,-3.0,,,,,,,,,,,1.0,,,1.0,1.0,1.0,,,,,1.0,,,1.0,,
1998,NEISSERIA GONORRHOEAE,Spain,Europe,S,317.0,5,-1.0,-5.965784285,-6.965784285,-5.965784285,0.584962501,1.0,,,,,,,,,,,1.0,,,1.0,1.0,1.0,,,,,1.0,,,1.0,,
1998,NEISSERIA GONORRHOEAE,The Netherlands,Europe,R,1.0,-,-5.442222329,-5.965784285,-8.965784285,-8.965784285,3.0,4.0,,,,,,,,,,,1.0,,,1.0,1.0,1.0,,,,,1.0,,,1.0,,
1998,NEISSERIA GONORRHOEAE,Turkey,Asia,S,202.0,2886,-4.411195433,-5.965784285,-8.965784285,-8.965784285,-1.395928676,-1.0,,,,,,,,,,,1.0,,,1.0,1.0,1.0,,,,,1.0,,,1.0,,
1998,NEISSERIA GONORRHOEAE,UK,Europe,S,4.0,10503,-1.395928676,-5.442222329,-7.380821784,-5.442222329,0.584962501,0.584962501,,,,,,,,,,,1.0,,,1.0,1.0,1.0,,,,,1.0,,,1.0,,
1998,NEISSERIA GONORRHOEAE,UK,Europe,R,6.0,1083,-2.395928676,-5.965784285,-2.0,-7.380821784,4.584962501,1.0,,,,,,,,,,,1.0,,,1.0,1.0,1.0,,,,,1.0,,,1.0,,
1998,NEISSERIA GONORRHOEAE,UK,Europe,S,411.0,8,-4.411195433,-5.965784285,-8.965784285,-8.965784285,-5.965784285,-3.0,,,,,,,,,,,1.0,,,1.0,1.0,1.0,,,,,1.0,,,1.0,,
1998,NEISSERIA GONORRHOEAE,UK,Europe,S,427.0,85,-3.411195433,-5.965784285,-8.965784285,-8.965784285,-2.0,-1.0,,,,,,,,,,,1.0,,,1.0,1.0,1.0,,,,,1.0,,,1.0,,
1998,NEISSERIA GONORRHOEAE,Jamaica,America,S,331.0,545,-5.965784285,-5.965784285,-8.965784285,-8.380821784,-3.965784285,3.584962501,,,,,,,,,,,1.0,,,1.0,1.0,1.0,,,,,1.0,,,1.0,,
1998,NEISSERIA GONORRHOEAE,Jamaica,America,S,123.0,1324,-3.0,-5.965784285,-8.380821784,-8.965784285,-3.0,-1.0,,,,,,,,,,,1.0,,,1.0,1.0,1.0,,,,,1.0,,,1.0,,
1998,NEISSERIA GONORRHOEAE,Japan,Asia,S,288.0,4123,-1.0,-5.965784285,-1.395928676,-5.965784285,-0.415037499,1.0,,,,,,,,,,,1.0,,,1.0,1.0,1.0,,,,,1.0,,,1.0,,
1998,NEISSERIA GONORRHOEAE,Japan,Asia,S,279.0,4068,-1.395928676,-3.411195433,-1.0,-3.411195433,1.584962501,1.0,,,,,,,,,,,1.0,,,1.0,1.0,1.0,,,,,1.0,,,1.0,,
1998,NEISSERIA GONORRHOEAE,China,Asia,S,7.0,1085,-2.0,-5.965784285,-1.395928676,-7.380821784,-1.395928676,1.0,,,,,,,,,,,1.0,,,1.0,1.0,1.0,,,,,1.0,,,1.0,,
1998,NEISSERIA GONORRHOEAE,China,Asia,S,1.0,-,-2.395928676,-5.442222329,5.0,-5.965784285,-0.415037499,0.584962501,,,,,,,,,,,1.0,,,1.0,1.0,1.0,,,,,1.0,,,1.0,,
1998,NEISSERIA GONORRHOEAE,China,Asia,S,1.0,-,-3.411195433,-5.965784285,4.0,-5.965784285,0.584962501,1.0,,,,,,,,,,,1.0,,,1.0,1.0,1.0,,,,,1.0,,,1.0,,
1998,NEISSERIA GONORRHOEAE,China,Asia,S,1.0,-,-2.395928676,-5.442222329,-2.0,-5.965784285,0.0,1.0,,,,,,,,,,,1.0,,,1.0,1.0,1.0,,,,,1.0,,,1.0,,
1998,NEISSERIA GONORRHOEAE,HongKong,Asia,S,1.0,-,-3.411195433,-5.965784285,2.584962501,-5.442222329,0.584962501,0.0,,,,,,,,,,,1.0,,,1.0,1.0,1.0,,,,,1.0,,,1.0,,
1998,NEISSERIA GONORRHOEAE,Indonesia,Asia,R,1.0,-,-3.411195433,-5.965784285,-8.965784285,-8.380821784,5.0,4.584962501,,,,,,,,,,,1.0,,,1.0,1.0,1.0,,,,,1.0,,,1.0,,
1998,NEISSERIA GONORRHOEAE,Indonesia,Asia,S,148.0,1691,-4.965784285,-5.965784285,-8.965784285,-8.965784285,-3.0,4.0,,,,,,,,,,,1.0,,,1.0,1.0,1.0,,,,,1.0,,,1.0,,
1998,NEISSERIA GONORRHOEAE,Indonesia,Asia,R,1.0,-,-5.442222329,-5.965784285,-8.965784285,-8.965784285,2.0,4.0,,,,,,,,,,,1.0,,,1.0,1.0,1.0,,,,,1.0,,,1.0,,
1998,NEISSERIA GONORRHOEAE,Malaysia,Asia,R,134.0,147,-2.0,-5.965784285,2.584962501,-6.965784285,7.0,0.584962501,,,,,,,,,,,1.0,,,1.0,1.0,1.0,,,,,1.0,,,1.0,,
1998,NEISSERIA GONORRHOEAE,Malaysia,Asia,S,433.0,8804,-5.965784285,-5.965784285,2.0,-8.965784285,-3.0,-1.0,,,,,,,,,,,1.0,,,1.0,1.0,1.0,,,,,1.0,,,1.0,,
1998,NEISSERIA GONORRHOEAE,Philippines,Asia,R,1.0,-,-4.965784285,-5.965784285,-8.380821784,-8.965784285,1.584962501,-1.395928676,,,,,,,,,,,1.0,,,1.0,1.0,1.0,,,,,1.0,,,1.0,,
1998,NEISSERIA GONORRHOEAE,Philippines,Asia,S,7.0,1085,-2.0,-5.965784285,-1.395928676,-7.965784285,-1.395928676,0.584962501,,,,,,,,,,,1.0,,,1.0,1.0,1.0,,,,,1.0,,,1.0,,
1998,NEISSERIA GONORRHOEAE,Philippines,Asia,R,6.0,1083,-2.395928676,-5.965784285,-1.395928676,-7.380821784,4.0,1.0,,,,,,,,,,,1.0,,,1.0,1.0,1.0,,,,,1.0,,,1.0,,
1998,NEISSERIA GONORRHOEAE,Philippines,Asia,S,340.0,568,-2.395928676,-5.965784285,-0.415037499,-8.380821784,-2.0,-0.415037499,,,,,,,,,,,1.0,,,1.0,1.0,1.0,,,,,1.0,,,1.0,,
1998,NEISSERIA GONORRHOEAE,Philippines,Asia,S,340.0,568,-2.395928676,-5.965784285,-0.415037499,-8.380821784,-2.0,0.0,,,,,,,,,,,1.0,,,1.0,1.0,1.0,,,,,1.0,,,1.0,,
1998,NEISSERIA GONORRHOEAE,Philippines,Asia,R,6.0,1083,-3.0,-5.965784285,-2.0,-7.965784285,4.584962501,0.584962501,,,,,,,,,,,1.0,,,1.0,1.0,1.0,,,,,1.0,,,1.0,,
1998,NEISSERIA GONORRHOEAE,Philippines,Asia,R,1.0,-,-4.965784285,-5.965784285,-8.965784285,-8.965784285,2.0,3.584962501,,,,,,,,,,,1.0,,,1.0,1.0,1.0,,,,,1.0,,,1.0,,
