Year,Microorganism,Continent,Country,%ESBL,%R,Azithromycin,Beta.lactamase,Cefixime,Ceftriaxone,Ciprofloxacin,Fully susceptible,Group,N,NG_MAST,Non-susceptible,Number of laboratories,Penicillin,Tetracycline,azm_mic,cfx_mic,cip_mic,cro_mic,log2_azm_mic,log2_cfx_mic,log2_cip_mic,log2_cro_mic,log2_pen_mic,log2_tet_mic,pen_mic,tet_mic,3GCREC,3GCRKP,AMINOGLYCOSIDES,AMINOPENICILLINS,AZM,CARBAPENEMS,CEFTAZIDIME,CFX,CIP,CRO,FLUOROQUINOLONES,GENTAMICIN,MACROLIDES,METICILLIN,PEN,PENICILLINS,PIPERACILLIN+TAZOBACTAM,TET,THIRD-GENERATION CEPHALOSPORINS,VANCOMYCIN
1997,NEISSERIA GONORRHOEAE,America,Canada,,,2,,0.032,0.032,,,171.0,,21,,,,,2.0,0.032,,0.032,1.0,-4.965784285,,-4.965784285,,,,,,,,,1.0,,,1.0,0.0,1.0,,,,,0.0,,,0.0,,
1997,NEISSERIA GONORRHOEAE,America,Canada,,,2,,0.016,0.032,,,171.0,,21,,,,,2.0,0.016,,0.032,1.0,-5.965784285,,-4.965784285,,,,,,,,,1.0,,,1.0,0.0,1.0,,,,,0.0,,,0.0,,
1997,NEISSERIA GONORRHOEAE,America,Canada,,,2,,0.032,0.032,,,171.0,,21,,,,,2.0,0.032,,0.032,1.0,-4.965784285,,-4.965784285,,,,,,,,,1.0,,,1.0,0.0,1.0,,,,,0.0,,,0.0,,
1997,NEISSERIA GONORRHOEAE,America,Canada,,,2,,0.032,0.063,,,171.0,,21,,,,,2.0,0.032,,0.063,1.0,-4.965784285,,-3.988504361,,,,,,,,,1.0,,,1.0,0.0,1.0,,,,,0.0,,,0.0,,
1997,NEISSERIA GONORRHOEAE,America,Canada,,,2,,0.016,0.032,,,171.0,,21,,,,,2.0,0.016,,0.032,1.0,-5.965784285,,-4.965784285,,,,,,,,,1.0,,,1.0,0.0,1.0,,,,,0.0,,,0.0,,
1997,NEISSERIA GONORRHOEAE,Oceania,Australia,,,0.25,S,0.032,0.032,0.75,,195.0,,270,,,3,3,0.25,0.032,0.75,0.032,-2.0,-4.965784285,-0.415037499,-4.965784285,1.584962501,1.584962501,3.0,3.0,,,,,1.0,,,1.0,1.0,1.0,,,,,1.0,,,1.0,,
1997,NEISSERIA GONORRHOEAE,Asia,Japan,,,0.5,S,0.064,0.047,0.5,,284.0,,4093,,,1,3,0.5,0.064,0.5,0.047,-1.0,-3.965784285,-1.0,-4.411195433,0.0,1.584962501,1.0,3.0,,,,,1.0,,,1.0,1.0,1.0,,,,,1.0,,,1.0,,
1997,NEISSERIA GONORRHOEAE,Asia,Japan,,,0.75,S,0.125,0.094,0.25,,289.0,,4127,,,3,2,0.75,0.125,0.25,0.094,-0.415037499,-3.0,-2.0,-3.411195433,1.584962501,1.0,3.0,2.0,,,,,1.0,,,1.0,1.0,1.0,,,,,1.0,,,1.0,,
1998,NEISSERIA GONORRHOEAE,America,Canada,,,0.125,,0.063,0.125,0.016,,674.0,,10469,,,4,>=128,0.125,0.063,0.016,0.125,-3.0,-3.988504361,-5.965784285,-3.0,2.0,8.0,4.0,256.0,,,,,1.0,,,1.0,1.0,1.0,,,,,1.0,,,1.0,,
1998,NEISSERIA GONORRHOEAE,America,Canada,,,2,,0.004,0.004,,,317.0,,5,,,,,2.0,0.004,,0.004,1.0,-7.965784285,,-7.965784285,,,,,,,,,1.0,,,1.0,0.0,1.0,,,,,0.0,,,0.0,,
