Year,Microorganism,Country,%R,N,Fully susceptible,%ESBL,Non-susceptible,Number of laboratories,3GCREC,3GCRKP,AMINOGLYCOSIDES,AMINOPENICILLINS,CARBAPENEMS,CEFTAZIDIME,FLUOROQUINOLONES,GENTAMICIN,MACROLIDES,METICILLIN,PENICILLINS,PIPERACILLIN+TAZOBACTAM,THIRD-GENERATION CEPHALOSPORINS,VANCOMYCIN
2013,ESCHERICHIA COLI,Germany,2.7,5241,,,,,0,0,1,0,0,0,1,0,0,0,0,0,1,0
2013,ESCHERICHIA COLI,Austria,3.2,4260,,,,,0,0,1,0,0,0,1,0,0,0,0,0,1,0
2013,ESCHERICHIA COLI,Finland,3.2,3433,,,,,0,0,1,0,0,0,1,0,0,0,0,0,1,0
2013,ESCHERICHIA COLI,France,3.2,10068,,,,,0,0,1,0,0,0,1,0,0,0,0,0,1,0
2013,ESCHERICHIA COLI,Estonia,3.3,335,,,,,0,0,1,0,0,0,1,0,0,0,0,0,1,0
2013,ESCHERICHIA COLI,Croatia,3.5,1015,,,,,0,0,1,0,0,0,1,0,0,0,0,0,1,0
2013,ESCHERICHIA COLI,United Kingdom,4.4,6536,,,,,0,0,1,0,0,0,1,0,0,0,0,0,1,0
2013,ESCHERICHIA COLI,Latvia,4.5,134,,,,,0,0,1,0,0,0,1,0,0,0,0,0,1,0
2013,ESCHERICHIA COLI,Slovenia,4.8,1224,,,,,0,0,1,0,0,0,1,0,0,0,0,0,1,0
2013,ESCHERICHIA COLI,Czech Republic,4.9,2953,,,,,0,0,1,0,0,0,1,0,0,0,0,0,1,0
2013,ESCHERICHIA COLI,Ireland,4.9,2478,,,,,0,0,1,0,0,0,1,0,0,0,0,0,1,0
2013,ESCHERICHIA COLI,Malta,5.2,248,,,,,0,0,1,0,0,0,1,0,0,0,0,0,1,0
2013,ESCHERICHIA COLI,Poland,5.2,999,,,,,0,0,1,0,0,0,1,0,0,0,0,0,1,0
2013,ESCHERICHIA COLI,Spain,5.8,5922,,,,,0,0,1,0,0,0,1,0,0,0,0,0,1,0
2013,ESCHERICHIA COLI,Portugal,8.5,2677,,,,,0,0,1,0,0,0,1,0,0,0,0,0,1,0
2013,ESCHERICHIA COLI,Romania,9.2,292,,,,,0,0,1,0,0,0,1,0,0,0,0,0,1,0
2013,ESCHERICHIA COLI,Greece,10.4,1235,,,,,0,0,1,0,0,0,1,0,0,0,0,0,1,0
2013,ESCHERICHIA COLI,Hungary,11.0,1422,,,,,0,0,1,0,0,0,1,0,0,0,0,0,1,0
2013,ESCHERICHIA COLI,Italy,12.2,3884,,,,,0,0,1,0,0,0,1,0,0,0,0,0,1,0
2013,ESCHERICHIA COLI,Slovakia,17.2,807,,,,,0,0,1,0,0,0,1,0,0,0,0,0,1,0
2013,ESCHERICHIA COLI,Bulgaria,19.8,187,,,,,0,0,1,0,0,0,1,0,0,0,0,0,1,0
2013,ESCHERICHIA COLI,Cyprus,20.4,162,,,,,0,0,1,0,0,0,1,0,0,0,0,0,1,0
2010,ESCHERICHIA COLI,Iceland,3.8,104,,,,,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2010,ESCHERICHIA COLI,Sweden,2.6,3883,,,,,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2010,ESCHERICHIA COLI,Norway,3.7,2275,,,,,0,0,0,0,0,0,0,0,0,0,0,0,1,0
